delude, antique, Pergamon, directory, integrate, pectoral, wiener, inconstant, quack, slob, elliptic, architect, trainmen, Richardson, Johnsen, pot, brethren, slick, Kankakee, pairwise, Bruckner, accrual, Scotland, sewerage, dermatology, obsessive, Columbia, eschew, carport, preparation, Seneca, ropy, Roseland, frog, playa, handicraftsman, linoleic, scorpion, trill, migrate
89 : 71 | 63 | 19 | 43 | debauch | stablemen | solo | actinic | gregarious | immigrant | monologue | 84 | 24 | abandon | 11 | easy | 72 | transgressor | escritoire | mortgage | 13 | 5 | 15 | 37 | FBI | depend | 80 | Healey | 82 | 60 | conifer | 35 | 65 | 70 | halide | dump | pup | 67 | 7
branch : 4 | stockroom | 78 | cacophonist | stung | skylark | 40 | 19 | 6 | 38 | descriptor | 36 | 34 | 50 | 98 | Yamaha | Iraqi | bewail | 0 | 74 | 68 | starling | 24 | bedimmed | whisper | 55 | fiend | teacart | 88 | ear | 38 | cocoa | 26 | coworker | pit | Hattiesburg | anoint | cicada | Blythe
57 : 19 | 1 | 58 | Quebec | 16 | 89 | histochemic | baboon | 12 | 18 | peephole | 67 | Gascony | 2 | 92 | 21 | heckle | 77 | 24 | 72 | Somalia | 86 | 10 | 87 | earshot | durable | 39 | 85 | 94 | 93 | deadhead | 34 | 45 | 67 | 2 | 77 | Woodard | 89 | ritual
Missouri : caught | raise | 74 | 63 | 3 | 42 | concerti | 67 | 89 | 16 | 57 | 70 | Ely | 80 | 74 | 34 | 86 | 19 | devious | squishy | 89 | disputant | 43 | 21 | 36 | chart | 99 | 46 | 42 | 34 | 28 | O'Connor | bridgework | cornfield | whig | Abbott | spell | 34 | 45
49 : 43 | 0 | 44 | velvet | 24 | 74 | 49 | Krieger | 58 | Marcia | boon | crib | 83 | 3 | gage | 22 | pillage | 22 | 11 | falcon | Ecuador | 27 | 2 | 59 | efface | blaze | 74 | 62 | 89 | atmosphere | 39 | 34 | parentage | delicti | deprivation | 24 | 66 | 36 | 44
82 : 79 | 96 | 38 | 53 | glide | 60 | 69 | 61 | 1 | starling | 55 | 45 | plaque | demon | 2 | frivolous | Moulton | malicious | trajectory | ink | Aries | marque | sanitarium | Hiroshi | 66 | calculus | Louisa | 37 | 11 | 91 | 77 | 44 | 25 | Poynting | 36 | 48 | 90 | 3 | tachinid
75 : 99 | 15 | 83 | 51 | 54 | 63 | 92 | 15 | 53 | art | restoration | accelerometer | pectoralis | shirtmake | 91 | 54 | 64 | 8 | incandescent | 7 | visitor | 20 | locutor | 45 | 88 | 89 | 82 | 90 | lessen | girt | 36 | Campbell | economist | 50 | 77 | nobelium | Simpson | 1 | 5
14 : 6 | 6 | hereunto | Muskegon | dorsal | 15 | Eng | 48 | clash | 71 | barter | 51 | offbeat | Icelandic | burnt | 59 | 97 | fount | 49 | 95 | 36 | paradise | 91 | 88 | museum | 37 | finite | distributor | 46 | 32 | 2 | 15 | laminate | 4 | 73 | 7 | 97 | downright | 40
cockcrow : NC | gogo | 80 | rehabilitate | 91 | 46 | associate | 33 | 19 | arsine | 21 | marble | Verne | 20 | 66 | 17 | lost | 47 | debauchery | 97 | 73 | 83 | 31 | 23 | 1 | dodge | tide | roomy | 42 | draftsman | 72 | Denmark | 82 | manslaughter | deoxyribose | thug | actor | 37 | 40
23 : fabricate | 95 | chorale | 64 | m's | 56 | 85 | 58 | 2 | 76 | impair | 7 | plaything | Martinez | 50 | 80 | Angelica | 69 | 28 | implicant | 57 | 72 | revving | dielectric | 19 | 2 | funny | 38 | 92 | 11 | Shockley | larynx | 99 | Steven | 4 | 20 | Wahl | emma | retrieval
82 : 79 | finny | 8 | 13 | 4 | 68 | 50 | 7 | 74 | 34 | 66 | byroad | hepatica | 18 | NCR | maim | 53 | 7 | 17 | 34 | metro | coralberry | 42 | 9 | 4 | 49 | 10 | Lima | 11 | Lansing | e.g | 43 | 93 | 1 | 83 | eutectic | amplitude | 30 | 43
Italy : csnet | 20 | 46 | 19 | 41 | 4 | 40 | 47 | 52 | 25 | 85 | 92 | 36 | 59 | 99 | 66 | slingshot | 71 | shopkeep | rondo | Lundquist | seven | 4 | 78 | 49 | Baird | punch | 11 | Lieberman | 90 | 52 | crowbait | 63 | 21 | 85 | essay | 1 | 91 | 80
25 : tremendous | 84 | swirl | 63 | impractical | 96 | 70 | amethyst | alcove | abandon | 58 | 20 | 31 | 15 | 76 | 15 | 85 | pinnacle | Stuyvesant | 71 | atom | 13 | 97 | Yamaha | excavate | 79 | 21 | 18 | plenitude | 6 | 25 | 49 | organdy | 50 | 38 | 87 | Vesuvius | 68 | retrogressive
dodge : 36 | 97 | 21 | 86 | retaliate | 33 | 9 | punctual | proclaim | arteriole | improvise | moisten | Lilliputian | 76 | earthmoving | 67 | 84 | edict | 63 | 78 | tease | 8 | 96 | incestuous | Ronald | 74 | 29 | vision | 43 | 41 | 93 | 60 | 6 | immigrant | 23 | 97 | 15 | 83 | histamine
9 : transferral | 12 | 87 | carpal | ubiquitous | 46 | mother | 41 | 34 | screwworm | prey | 10 | Thruway | humility | pathbreaking | teaspoon | 71 | 49 | campfire | under | Lotte | 58 | 97 | 42 | 88 | body | Bujumbura | 32 | 84 | phosphor | 38 | 87 | 32 | 27 | 31 | polish | 85 | Magdalene | 92
cufflink : 61 | exigent | 30 | 67 | quadrangle | 85 | 4 | 30 | menarche | 66 | spew | Cinerama | 30 | uproarious | excrement | 62 | suitcase | drayman | 70 | inelegant | wafer | 45 | 65 | 12 | whoopee | ligament | 97 | woodrow | regular | 14 | 60 | albatross | 96 | harrow | 23 | belligerent | don | fallible | 64
65 : McCauley | Pierson | 33 | milch | 87 | 22 | 30 | 28 | Nigeria | core | 51 | 78 | 61 | 7 | 15 | 8 | 55 | 86 | 35 | 64 | 35 | 65 | ostracod | 39 | similar | secrete | forbade | eyelash | footstool | 20 | servomechanism | brickbat | 22 | 76 | 38 | 12 | 67 | Whipple | 90
stamen : 85 | 25 | 75 | 63 | 39 | 63 | 84 | 84 | company | theocratic | 30 | iris | 12 | 82 | tektite | 55 | 91 | 68 | blacken | wordy | quizzical | 22 | 38 | 11 | 62 | 10 | batik | 39 | midpoint | 3 | 82 | mason | 51 | pivotal | chasm | 67 | adult | 73 | 25
15 : 1 | 73 | mouthful | 43 | 19 | 67 | 81 | afreet | 51 | lucrative | 56 | quip | rudiment | deoxyribose | thoughtful | 88 | 16 | aloha | 29 | Caucasus | 56 | abut | Oceania | nut | 48 | lawgiver | 40 | 37 | 70 | Marino | 90 | 95 | 89 | Stonehenge | 15 | harpoon | briar | 16 | stein
cavalier : 81 | excuse | 45 | 49 | 83 | 95 | 76 | 76 | tuba | Nina | 49 | 50 | dumbly | Janeiro | 50 | 1 | 0 | Antoinette | bravo | 20 | 88 | meridian | 98 | 40 | series | 16 | 69 | roughcast | sniffle | halvah | 46 | collimate | 12 | Seneca | ulcerate | 28 | Genesco | 75 | elegy
concurring : Garrett | usury | 41 | 42 | 41 | 68 | 11 | 13 | fresco | 35 | 18 | 22 | Yugoslavia | leaden | frond | 81 | 66 | extricate | 90 | 47 | 29 | 68 | 23 | 93 | 32 | way | 86 | 79 | 73 | Fulton | 72 | 95 | Feldman | Gauguin | histogram | 15 | incorrect | blade | 64
toady : 33 | gush | 6 | 76 | oat | 41 | senor | 59 | 20 | rapprochement | 74 | 64 | 8 | thrice | 35 | albino | isinglass | 20 | 68 | 19 | 89 | 92 | fractionate | 26 | 71 | 40 | side | sylvan | 96 | 5 | rhapsodic | 34 | say | 83 | 5 | 46 | 29 | horn | 30
91 : 97 | 74 | 62 | 77 | 11 | 52 | 54 | Delhi | 40 | 92 | 56 | 82 | 30 | 55 | Christina | butte | frenzy | 68 | Frances | 48 | 14 | Smyrna | syntactic | 80 | morphophonemic | 42 | promotion | churchwomen | 35 | 22 | 73 | 38 | 79 | mallow | 91 | 88 | along | 35 | Flo
52 : 62 | 39 | 74 | premiere | tenacity | Martinson | fairy | 39 | 51 | penalty | religion | 28 | 92 | 81 | 63 | mortify | 15 | switchboard | straighten | 58 | 28 | cavalry | assignee | 76 | august | Simpson | Fitzpatrick | veterinary | worship | 83 | 68 | 49 | 95 | 50 | 42 | meniscus | Seth | smokescreen | rhetoric
34 : hawthorn | Isaac | crock | 65 | Delphinus | succession | plowmen | 91 | basso | 64 | 34 | bossy | 59 | 75 | 76 | Caesar | 60 | 10 | 20 | 91 | pickerel | sac | 3 | 83 | 0 | 21 | 42 | Clotho | 98 | 47 | construct | hinterland | 71 | 81 | 51 | 86 | phlox | 43 | 50
cabal : class | 50 | Dewitt | jet | permitted | 98 | 63 | 94 | 47 | 46 | 80 | 79 | 14 | 76 | 49 | Gershwin | pheasant | mosquitoes | 7 | 70 | shank | aback | 97 | 92 | 8 | 56 | debugged | 88 | hazardous | 71 | 49 | landslide | Aristotle | bribe | 52 | 59 | 79 | 25 | Denebola
10 : apostasy | 13 | 43 | carefree | slosh | musician | 60 | Zoe | 70 | 86 | phenylalanine | 13 | 42 | 22 | 45 | 5 | betrayal | 72 | Cal | 13 | 98 | 53 | pout | riparian | either | 52 | 54 | 85 | 8 | 77 | Kowalewski | 82 | arroyo | moot | newton | 70 | 68 | 20 | dipole
7 : 4 | stagnate | 0 | revolutionary | bellwether | 87 | anaerobic | 84 | 5 | 51 | Saul | redound | 71 | 69 | Schwab | 1 | 80 | 21 | 83 | guzzle | dynastic | 37 | 31 | 44 | horology | 15 | 86 | 37 | 88 | 73 | 31 | 14 | 86 | 18 | furze | 88 | 75 | 48 | 12
6 : bore | 0 | conformation | first | 60 | 55 | 0 | ironstone | subsist | 74 | incense | 74 | taken | 45 | 70 | ravenous | 66 | lottery | 20 | 45 | 55 | strangulate | 1 | 94 | 47 | abject | Bradshaw | evangelic | 76 | argumentative | syllabi | 47 | 70 | 59 | 13 | 20 | 55 | 58 | Europa
78 : Boreas | cuff | 82 | 52 | 99 | Europe | mill | affirmation | 62 | memento | 70 | 39 | 57 | 7 | 82 | ascension | coeditor | 8 | health | kern | 26 | Sunday | 44 | 10 | splenetic | 22 | 50 | Carrara | detractor | 50 | 31 | 11 | 75 | 79 | 57 | 58 | gases | 44 | amplitude
Alton : parasol | 38 | 32 | seventy | 7 | 72 | 32 | 34 | took | 99 | 1 | gules | facile | 1 | marshland | juxtapose | studious | 3 | 14 | 3 | Chattanooga | 93 | 24 | nemesis | snapback | 42 | 67 | 22 | 76 | 35 | 76 | 37 | plum | climb | 26 | Tahiti | exquisite | snick | 55
debtor : 82 | Anglo | 58 | 59 | 95 | 77 | which | vortex | Ayers | u | 92 | 39 | 76 | 76 | rapprochement | 36 | 6 | 24 | 28 | 28 | triatomic | faro | 30 | 6 | 54 | 65 | USC&GS | 36 | memory | 99 | silver | 70 | 13 | 60 | 39 | lase | 2 | 98 | 47
rip : 96 | 41 | 90 | indoctrinate | 5 | eventide | 86 | 53 | apron | sladang | medicine | 99 | luminary | 62 | lariat | mastic | 91 | Ryan | 71 | 15 | quintuplet | 93 | 16 | 10 | zealous | 19 | Olsen | backlog | 88 | cotoneaster | 45 | halibut | 63 | Pretoria | 58 | 38 | 45 | canticle | du
19 : oneupmanship | 36 | argillaceous | 2 | immoderate | 68 | 58 | pigging | 14 | figurine | longish | 38 | skater | 74 | catastrophe | septennial | hurray | 90 | 99 | m | 63 | inset | Sykes | 7 | ballerina | 60 | calcite | dogtrot | 43 | 81 | exquisite | worse | solace | 89 | 18 | ghetto | 86 | 48 | 92
71 : slavish | Neapolitan | 1 | 57 | Neff | 91 | 77 | 10 | 22 | indwell | 91 | 8 | 77 | 74 | 73 | 87 | apparent | 81 | 88 | 1 | 94 | 60 | 38 | 61 | 95 | 0 | 45 | 43 | 44 | orchis | 73 | 14 | attenuate | 9 | manatee | 63 | 50 | Hirsch | sarcophagus
grain : 55 | 29 | godsend | 26 | 41 | 87 | centroid | unruly | Schubert | 12 | jugging | 55 | newsstand | delight | truce | 84 | 33 | 2 | treble | 52 | brilliant | becalm | 50 | sludge | 47 | 76 | 71 | 16 | 37 | 26 | 34 | vicinal | teeth | 84 | 15 | 44 | 18 | 19 | contusion
51 : 63 | Holmdel | 36 | tomography | 1 | patrimonial | 9 | 91 | Epiphany | 51 | 34 | 27 | 41 | slant | 8 | 88 | 20 | 61 | MacDougall | 81 | 99 | titillate | parse | 47 | provenance | demography | 17 | 47 | laconic | 47 | Acadia | 85 | 75 | 69 | Willa | 7 | 80 | sunburnt | 0
aficionado : 1 | 35 | lam | hornblende | clove | 43 | 59 | Caesar | Clytemnestra | lunchroom | argue | 75 | tragedian | messieurs | 52 | hardtack | 97 | ornamentation | 49 | 52 | 94 | 22 | 90 | desiccant | 98 | yesteryear | 40 | 77 | automaton | 6 | 18 | 38 | 2 | insignificant | sawyer | 71 | 22 | 67 | 93
minim : 23 | manhole | gunflint | 1 | premonition | 65 | 46 | 66 | 9 | bellow | preparation | 90 | 93 | 24 | wacky | 84 | converse | 27 | 43 | hecatomb | diphthong | homophobia | contention | miracle | 39 | Bellini | induce | 79 | impedance | 39 | 98 | 52 | Hansel | 49 | 18 | 9 | birth | hooves | iconography
dodecahedra : 70 | intrusion | sparky | breath | 45 | 5 | 64 | hundredth | inappropriate | impost | multiple | hydra | phoebe | 4 | 47 | 26 | 47 | heavyweight | representative | cobweb | adjudicate | 71 | 82 | 34 | Oppenheimer | 89 | venerable | 13 | Bolshevik | Dalhousie | 53 | 95 | 85 | 16 | 13 | phenyl | 29 | revel | 76
paregoric : chine | by | 76 | 99 | Cecil | wind | Bunsen | 79 | hospital | longhorn | 20 | 98 | 64 | Frye | 97 | 67 | astronomic | 91 | silverware | 31 | 47 | 73 | pragmatism | cargo | 64 | Alger | 56 | childrearing | 88 | Agatha | 11 | taboo | thieving | Beauregard | 16 | 21 | inland | tubule | 22
53 : 62 | Smythe | 53 | 29 | 74 | 51 | 36 | 16 | 90 | 17 | interject | groundskeep | 71 | 38 | regimen | 59 | jostle | Oklahoma | 52 | workbench | Parsi | expenditure | 75 | 26 | 91 | 43 | Kay | 52 | weld | 30 | cannibal | 27 | 62 | 40 | hillock | 28 | 53 | grottoes | 49
23 : samarium | 76 | 12 | 32 | mystery | 88 | 84 | 31 | 23 | barrage | 66 | Doris | 76 | sidewinder | 25 | Simonson | madstone | 19 | 15 | 54 | 6 | 0 | Waco | invisible | hark | Hayes | full | McDougall | 19 | 19 | 0 | 16 | 92 | dulcet | agile | 70 | Shakespearian | 47 | 84
isomorph : 26 | 36 | 61 | 29 | menial | 98 | electrolytic | 32 | 9 | 82 | 74 | 48 | serenade | con | aide | 38 | irreplaceable | 56 | Abbott | 90 | kink | compensable | 58 | 2 | 96 | 88 | quench | chard | 30 | 28 | snigger | 71 | 10 | Lyon | 64 | 43 | elongate | trimer | 56
23 : 74 | 18 | 66 | 47 | 30 | Farnsworth | 42 | 93 | observant | 27 | 81 | Jeremiah | typeset | 12 | 13 | 54 | 61 | 72 | 82 | Cargill | 36 | Judaica | 36 | 65 | 53 | theology | shorefront | 14 | 44 | 3 | 58 | stake | hurdle | chard | 7 | Palmolive | 53 | 62 | 33
52 : 56 | lax | 12 | 8 | men | 29 | 77 | 48 | gimlet | 41 | hay | 88 | 61 | 67 | 0 | 41 | deuterate | 16 | 95 | 33 | 92 | 59 | brainstorm | 97 | 78 | 15 | 19 | warhead | 62 | 26 | 19 | hoofprint | occult | 50 | gunsling | Locke | realtor | grindstone | 23
Mathews : wheelhouse | 65 | 89 | 12 | 40 | analgesic | 25 | rutile | 95 | 29 | rob | 35 | 49 | 50 | 78 | 54 | 38 | signature | 47 | 99 | 37 | Wheller | 55 | 26 | sloth | symbiosis | 18 | literacy | 71 | 50 | 2 | 85 | Keats | 35 | Asilomar | caliber | 95 | oilcloth | Napoleonic
70 : 25 | Delphinus | 16 | torn | 14 | incautious | granny | 40 | 53 | Halley | 60 | orthorhombic | 74 | east | yarmulke | debacle | 50 | scarp | pain | Hilbert | heave | assuage | 75 | repudiate | Liverpudlian | 54 | agnomen | 40 | 19 | 98 | 9 | 3 | Mao | compost | 51 | vertebral | 87 | Reich | 25
scientist : 96 | 20 | dogleg | porous | 99 | 51 | delve | haunt | 88 | implausible | 31 | recherche | 55 | deceptive | 48 | 1 | cucumber | 55 | 42 | 25 | fix | 31 | 8 | 56 | Dorothea | 10 | 70 | cohomology | 31 | Haas | obnoxious | 62 | 26 | 6 | specific | 77 | 70 | 45 | insatiable
95 : offspring | 9 | bait | 94 | interviewee | commonality | assessor | 51 | 98 | Lubbock | hurrah | moldboard | crises | 93 | Fairfield | 36 | 81 | construal | 41 | 16 | 41 | 48 | cleave | sample | 28 | 18 | 36 | 98 | 26 | 49 | 21 | 92 | monstrosity | 47 | 61 | 79 | 65 | increasable | 64
salt : hurley | prologue | Ito | 81 | 79 | skylark | 19 | O'Dell | douse | swiss | 19 | 55 | 83 | 88 | crush | 16 | 52 | 59 | shad | Fitchburg | ebb | 71 | 69 | miracle | 41 | 48 | assay | jumble | subsistent | 50 | 28 | codomain | nerve | Denver | 84 | refusal | 32 | 21 | demoniac
firepower : 70 | 95 | 25 | 65 | 8 | 23 | 96 | 97 | Canberra | 98 | 29 | 6 | 65 | 75 | wordy | 9 | 70 | 98 | 36 | Raoul | Levi | 2 | 99 | 90 | 97 | 7 | 20 | 9 | 68 | 78 | pedigree | 49 | 88 | 73 | 59 | courageous | sidearm | 52 | sat
tincture : Berra | 71 | curious | sentry | migratory | 18 | 84 | 90 | phylogenetic | 75 | 96 | 36 | unicorn | basilica | 42 | 89 | France | fortuitous | 71 | 83 | infrequent | 49 | 86 | recusant | 88 | acquaintance | 37 | Magdalene | Yukon | 19 | 30 | 86 | 3 | Peru | Siberia | 59 | stroboscopic | 90 | 84
77 : 46 | sturgeon | one | 85 | 12 | 29 | emit | 57 | manumit | 46 | kittle | 92 | losable | 3 | damp | 38 | 96 | anhydrous | 5 | andesine | 65 | 75 | 19 | missionary | 97 | sinful | 32 | 79 | specie | 71 | 57 | 5 | geothermal | Mayer | 28 | skater | 36 | 85 | 55
45 : follicular | virtuosi | 86 | 0 | Catherine | Cecilia | 73 | 91 | 0 | 83 | 23 | 47 | 33 | 2 | 98 | moonbeam | 5 | 41 | 92 | 30 | 40 | 1 | 52 | 1 | swollen | Kinshasha | 57 | Sebastian | embassy | churn | 65 | astrophysicist | 33 | rectitude | supervisory | 54 | epistemology | 27 | 86
Po : Emery | 8 | 52 | 31 | 36 | playpen | 73 | alabaster | testament | 71 | umber | bey | alight | 74 | Neptune | 58 | neolithic | opera | 62 | 17 | 50 | 79 | 3 | dey | 44 | sandpile | 14 | 50 | 79 | 43 | 16 | 36 | 31 | 16 | 23 | Sol | Brunswick | 64 | ballad
84 : ladybug | 15 | 62 | inflammable | 10 | Rhoda | papacy | 71 | 90 | 79 | Prof | 17 | ow | 45 | 36 | 1 | madstone | amok | Topeka | 36 | 13 | gramophone | pizza | 34 | expressway | Ontario | 63 | impeccable | 14 | 40 | 76 | admonish | 68 | preferential | tabu | 36 | 64 | 53 | 74
13 : handline | 18 | 26 | 65 | 66 | 86 | awake | 51 | 34 | 49 | hardscrabble | deforestation | 51 | maintenance | 10 | 1 | 59 | 78 | 23 | ceil | asynchronous | 94 | literacy | Waterbury | 43 | croupier | 68 | 73 | 93 | 93 | mouse | 94 | 57 | 65 | 57 | Horton | awry | 72 | 29
37 : mantic | plait | 10 | pertinacious | 78 | 24 | 9 | 54 | 28 | 4 | 7 | 46 | 41 | independent | 62 | godmother | Leon | swami | 32 | 50 | original | 20 | Braniff | triangulate | 18 | 72 | 51 | tennis | 23 | 2 | 13 | 23 | 3 | 79 | lettermen | 42 | 22 | 47 | 56
7 : reprehensible | 51 | 41 | 24 | 88 | 80 | 99 | 28 | 11 | 38 | 14 | 57 | pile | Blumenthal | 14 | radical | 16 | Frick | Delhi | 75 | 43 | evince | 84 | velours | dissident | caution | often | precarious | 96 | 52 | sparge | 4 | Wendell | 70 | 21 | Catalonia | 91 | 18 | nasturtium
repelled : easy | 9 | riverine | 96 | 30 | 34 | 44 | 86 | 36 | 97 | acknowledge | 29 | 59 | 16 | Hiroshi | cheery | enthusiasm | sleazy | Jeres | gone | 59 | 53 | 33 | 40 | 31 | 29 | Bentley | hereinabove | philanthropy | 72 | Garry | Verona | parliamentarian | 30 | 58 | nostril | flop | 86 | scrubby
64 : Macassar | chinch | 80 | indeterminate | cheerleader | 11 | mystery | gyrfalcon | network | 65 | 9 | 76 | 97 | 58 | 2 | 74 | synonym | 92 | demographer | 19 | Coddington | deliver | bloodletting | Kieffer | commensurate | 88 | 47 | contravention | 22 | 22 | 32 | conveyance | 92 | ventriloquism | 40 | 5 | 23 | 89 | 80
17 : 36 | 79 | Vida | substrate | cardioid | flunky | 21 | northerly | 55 | 70 | 57 | 94 | Mobil | 44 | 95 | 85 | cotty | 36 | pest | sedition | 35 | honey | 89 | 69 | 81 | Alexei | 10 | Ozark | specimen | Hubert | whereby | 16 | illumine | 67 | strain | sweetish | 64 | Havilland | 68
Eben : 89 | birthright | 25 | shrubbery | esquire | 13 | lest | 97 | 64 | 92 | new | 17 | 95 | 1 | 27 | 26 | 99 | scar | 57 | 75 | Henrietta | em | 54 | 61 | Gemini | 11 | 98 | 85 | 96 | 41 | 86 | 96 | biddy | quadrille | 36 | volume | housefly | 48 | 46
75 : 89 | nickname | 44 | 12 | 97 | 4 | 57 | jug | 36 | 16 | sickish | 83 | crunchy | 10 | Natchez | 74 | Keller | niobium | opulent | 1 | 60 | 71 | presto | pampa | 16 | 30 | 6 | 72 | 5 | 75 | fleshy | luxe | langur | Kerr | 25 | bulkhead | conclude | 16 | 73
85 : bereave | 45 | grep | 75 | detect | Baptiste | typify | chump | inductor | PVC | 38 | 49 | complexion | Dallas | 5 | Fresnel | axis | 64 | lobar | 25 | 11 | 56 | inapplicable | 40 | Artie | Bentham | sacrificial | thorium | 83 | 55 | 52 | 73 | 95 | degrease | 88 | 92 | 18 | 42 | transitive
conducive : 87 | 72 | dorsal | 72 | 78 | 70 | 75 | 11 | hoofmark | cockleshell | 32 | 39 | petrol | 73 | 17 | 80 | Helene | 47 | concurred | isomorph | 5 | 63 | 29 | Foxhall | tapioca | 53 | 58 | 63 | 24 | alto | 35 | 84 | guest | day | Navajo | 5 | 58 | 66 | 99
19 : waist | 5 | 85 | 63 | 7 | 30 | 88 | 66 | 33 | 47 | 30 | Eulerian | 83 | Carlson | lobster | til | 10 | about | malleable | cancelling | 84 | vanity | 82 | typology | Hankel | 92 | prominent | pamphlet | ovoviviparous | waggle | lift | drugging | 85 | 1 | 13 | interim | 90 | 65 | 79
glum : immanent | 82 | 39 | stout | Prof | 59 | 17 | gangplank | 78 | 55 | 15 | 50 | America | 76 | 63 | tonk | 64 | 75 | 66 | Seattle | cortege | copolymer | 64 | 82 | 76 | 39 | 65 | flaky | 80 | laura | eighteen | 73 | Asia | eavesdrop | Hayes | 85 | 8 | 71 | 28
41 : 51 | 92 | Newport | 62 | 74 | 13 | tumbrel | 62 | English | 24 | 18 | 51 | 48 | contentious | 15 | gerundial | immovable | tropospheric | 9 | 17 | 47 | 49 | picosecond | shrill | 22 | 26 | 44 | porphyry | maggoty | 60 | 0 | murderous | 56 | atonic | circumvention | 59 | 95 | showboat | 26
23 : poseur | Ellen | grandiloquent | lurch | 72 | 73 | accumulate | 23 | 80 | 56 | 30 | 6 | advertise | m | 82 | 33 | 11 | rhapsody | 4 | 94 | 43 | 94 | 64 | 2 | Wotan | 94 | 99 | 19 | proscription | barometer | 69 | 28 | 40 | 35 | foundling | 40 | 61 | 15 | anorthic
moldy : hornbeam | 13 | 76 | 98 | 87 | 6 | 66 | 57 | 21 | 49 | organismic | 35 | 2 | 28 | 3 | Lawrence | 55 | 63 | 67 | conveyance | 96 | greenwood | 22 | 48 | 53 | broom | 60 | Alexandria | Mediterranean | 37 | 44 | 50 | 78 | skullcap | 31 | 41 | 88 | 37 | 28
fitful : massive | 89 | dey | sly | 14 | ruinous | Victoria | 15 | 99 | laterite | 33 | fetal | 39 | 0 | 71 | 63 | 24 | 42 | resourceful | 99 | 77 | 49 | rob | 37 | 0 | cockfight | 61 | homunculus | quipped | 17 | Sylvia | androgen | 71 | 5 | 63 | scapegoat | 26 | asleep | 99
68 : 31 | 57 | 27 | 43 | 14 | brewery | proselyte | ovum | industrial | 36 | Siemens | 37 | 84 | 88 | 24 | 36 | 85 | 52 | 1 | alfonso | 23 | 90 | nectareous | 18 | belfry | sandhill | 90 | 27 | 66 | 42 | Sheldon | thyronine | 18 | 94 | 12 | trendy | construal | impenetrable | 71
36 : 99 | 53 | 82 | 47 | 80 | Acapulco | Riemann | winery | crampon | borough | 75 | dysentery | 37 | 97 | 44 | quid | dang | 94 | 38 | pill | 54 | ingot | inhibitor | 42 | 31 | 90 | 72 | 95 | manipulable | 15 | 50 | 59 | 65 | prow | hull | 17 | 82 | 10 | 91
9 : 5 | 16 | lamp | 78 | Pepsi | kava | 86 | 11 | 37 | 22 | 67 | 10 | 81 | 63 | 74 | 38 | 14 | ubiquity | squishy | 34 | 89 | Nan | hat | 87 | 41 | 8 | jubilate | Pergamon | 43 | 98 | 9 | mutilate | Marjory | 25 | 49 | alibi | Bertie | 59 | mournful
digestible : mommy | stomp | 75 | 60 | Heidelberg | 20 | 19 | veracious | Norfolk | 29 | sidearm | slosh | 32 | 96 | 72 | 61 | afford | 19 | chess | 72 | 61 | mosquito | atone | pragmatist | tidal | vie | 80 | yuck | 73 | 80 | 84 | speedy | cabinetmake | 11 | 36 | 8 | 15 | Yaounde | 31
88 : auk | 21 | epaulet | 97 | revelry | 17 | homotopy | catbird | Gates | Sonora | rib | perturbate | ignition | 25 | 67 | 61 | labradorite | computation | 10 | woodruff | 86 | worsen | 22 | 67 | loci | 20 | rightmost | 47 | 54 | 41 | supplicant | 57 | spoilage | soybean | 4 | improvisate | met | broadloom | 22
midwinter : 75 | 77 | 35 | 23 | 40 | 10 | 72 | 34 | 27 | juke | UNESCO | 90 | 22 | Delhi | Geraldine | 52 | thereupon | husbandry | Alastair | Tyson | 74 | 56 | Stewart | 46 | suntanning | 90 | 97 | senate | 90 | shuffleboard | 50 | levulose | 71 | 46 | 47 | wagoneer | 15 | 76 | thorny
referenda : inventive | 61 | Hyde | baklava | cometh | rebellion | 19 | Spokane | 2 | specular | 41 | 93 | raptorial | 66 | mana | 58 | 28 | mimic | 59 | raceway | rod | boar | creed | 78 | 55 | 52 | 56 | 82 | from | geophysical | burn | 3 | 47 | berate | 54 | 14 | intimidate | 51 | bitumen
1 : 26 | elegy | 98 | carne | Perth | 1 | avowal | convertible | transgressor | 66 | 41 | 69 | 86 | insulate | 46 | 37 | commandeer | 77 | 97 | Bridgeport | 59 | promote | 39 | trivial | Lagrange | 20 | crossarm | porcupine | 35 | 48 | vitro | 24 | devious | 43 | Martha | Teheran | 22 | Banach | 1
